name,accords,reivew
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']","I needed to smell good for DeForest Kelley. It was mid-1998 and I had won Starlog magazine's ""A Date With Dr. McCoy"" contest. It was not a ""date"" in the romantic sense -- he and I were both married men with only baseline levels of physical attraction for one another -- but I still preferred to up my game ahead of meeting this TV icon. I slapped on some ""CK One"" and jogged to my jalopy.

As I strutted through the door of Taco Bell moments later, I spotted DeForest alone in the window booth. I loved how sexy I smelled. I half-expected DeForest to say, ""Dammit, Basil, I'm a celebrity, not a cheap lay!"" Instead, as I sat down across from him, he sneered and muttered, ""You smell like monkey-cage scrapings."" He snapped his fingers to summon his manager. The two men left without another word. So much for meeting an icon.

Life is about choices. Had I worn a better fragrance that day, perhaps DeForest Kelley would not have rejected me. Perhaps I would feel worthy as a human being. Perhaps it all would have been okay. ""CK One"" ruined me that day, but it need not ruin you. Please, gents, don't wear this one outside the house."
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']","This would be the fragrance of my dreams if it lasted more than 15 minutes! It’s incredibly crisp and refreshing, but quickly fleeting! I get a tangy citrus note with the backing of green tea and a slightly bitter green-ness. I love this fragrance so I would suggest getting the 6.7 oz if you can find it and reapplying as often as possible."
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']","Fresh, bright, effortless, androgynous and cool with sharp, clean green notes. A real summer pick-me-up.
I love wearing it on days I want to feel laid-back sexy rather than dolled-up sexy. This just conjures up images of skinny boyish 90s cool girls.
The scent actually reminds me a lot of the Bodyshop Fuji Green Tea range - I bet they layer beautifully after a shower - so this definitely smells more ""green"" than citrus on me, but that's not a bad thing.
I actually haven't smelt this on too many people IRL, but I know it is meant to be popular, which puts me off wearing it somewhat for fear of smelling ""obvious"". That being said, the trend graph does suggest interest in this perfume waning, which could be a good thing for bringing back a bit of uniqueness to a classic whose only drawback is its own popularity!"
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']","What a BANGER. 1000% worth the hype. If you're concerned about smelling original or unique then this isn't the fragrance for you because the popularity is undeniable. However, just based on the scent of this fragrance, this is a masterpiece. Don't come at me! These kind of fruity fresh unisex scents are my weakness. I can't believe it took me so long to try this fragrance. The joke is on me!"
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']",Quite mediocre. Nice fresh scent. But nothing special.
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']","This has been my staple since 1994 when I was in high school, still love this today. The green tea base note is AMAZING!!🥰🥰🥰"
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']",U already know.
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']","First impression: Enjoyed the depth that the herbal and woody undertones added to the synthetic citrus body. However, the more I returned to the scent, the more like a cleaning product it smelled to me. Lemon Windex? Nonetheless, it layers very nicely with the organic sweetness of D&G's Light Blue which tempers the synthetic lemon and creates a light but fairly complex citrus scent. Totally unisex and timeless-- a clean, bright scent that would be appropriate for most occasions. You can't go wrong with it, but you certainly won't stand out either."
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']","looooove it, reminds me of my high school days. sadly doesn't last at all, i used to literally douse myself in this but it was gone in an hour lol. super fresh, clean and juicy!"
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']","Urban normcore / Y2K techno-utopian soapy (modern, not aldehydic) vibe. The Smart Casual of perfumery. However, it feels like it might be approaching the cusp of becoming dated in the near future"
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']","I bought it as a gift for my fiancé about two or three years ago, and he didn't like it, so I got this perfume. I think it's really cool, fresh, citrusy scent, but it still smells fruity. In summer, I like to wear it in the very heat, or at home, for example, when cleaning or after morning workouts and showers. I think it's a super everyday fragrance. There's nothing intrusive about it. Clean, easy to wear, absolutely unisex. Longevity is great, even on my skin, but especially on clothes."
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']","My heart sunk when I received my new bottle. It’s reformulated beyond no return. I was using a dupe brand that’s sold in stores and it smelled so good. Clean, Citrusy, And sexy. I thought well damn this smells just as Good as I remember ck1 smelling. I thought let me buy an authentic bottle of it since it’s a classic and it’s still smells delicious. Well I thought wrong. It’s powdery and tweaked way too much. It just doesn’t perform like it used to. I’ll wear it til it’s gone and forever leave it in the past."
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']","CK ONE.

Where to start, this fragrance is what originally got me into citrus fragrances. For the longest time when ever I smelled citrus I could only think of cleaning products. Luckily I smelled this when I did because sense then it has opened a whole new world to me.

CK ONE has a pineapple opening but it's very distinct it's one of those things where it's hard to describe to someone unless they have smelled it as well.

Honestly this is a great fragrance for any age point be it 14 or 80. Great buy for the price lovely warm weather fragrance.

Projection 5/10 Very personal scent.

Sillage 5/10 It's in the air but it's not refer to above.

Longevity 4/10 It's a freshy but it does not last as long as other alternatives.

Scent 7/10 This is where this fragrance really makes up ground.

Grade B+."
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']","Quite nice fresh back in the day fragrance that most like no wow factor with refreshing notes of green tea, papaya, and bergamot balanced with soft accents of nutmeg, violet, cardamom, and rose.just a everyday gym or work frag."
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']",Alberto Morillas. I shouldn't have to say anything else about this classic
CK One Calvin Klein (unisex) ~ 1994,"['citrus', 'green', 'woody', 'powdery', 'aromatic', 'fresh', 'white floral', 'fresh spicy', 'musky', 'floral']","Generic soapy-mossy shower gel/Glade air freshener vibe. Smells cheap, is cheap. Won't offend anyone, but neither will it make an impression.

Outdated freshie. Time to move on to more natural scents vs. these synthetic concoctions.

Grade: C-
Quick take: generic mossy shower gel"
